transportation_id,depart_id,dest_id,depart_nm,dest_nm,depart_time,destination_time,grade,fare,duration,trans_cate
trans_bus_00027,C20,C10,횡성,부산,8:35:00,12:04:00,우등,30000,209,bus
trans_bus_00028,C20,C10,횡성,부산,9:35:00,13:06:00,우등,30000,211,bus
trans_bus_00029,C20,C10,횡성,부산,11:25:00,14:56:00,우등,30000,211,bus
trans_bus_00030,C20,C10,횡성,부산,12:40:00,16:08:00,우등,30000,208,bus
trans_bus_00031,C20,C10,횡성,부산,15:15:00,18:41:00,우등,30000,206,bus
trans_bus_00032,C20,C10,횡성,부산,18:15:00,21:46:00,우등,30000,211,bus
trans_bus_00033,C20,C10,횡성,부산,19:15:00,22:49:00,우등,30000,214,bus
trans_bus_00034,C20,C07,횡성,울산,9:05:00,13:30:00,우등,31200,265,bus
trans_bus_00035,C20,C07,횡성,울산,11:05:00,15:30:00,우등,31200,265,bus
trans_bus_00036,C20,C07,횡성,울산,17:55:00,22:20:00,우등,31200,265,bus
trans_bus_00037,C20,C19,횡성,원주,7:35:00,8:05:00,일반,2400,30,bus
trans_bus_00038,C20,C19,횡성,원주,8:10:00,8:40:00,일반,2400,30,bus
trans_bus_00039,C20,C19,횡성,원주,8:40:00,9:10:00,일반,2400,30,bus
trans_bus_00040,C20,C19,횡성,원주,9:10:00,9:40:00,일반,2400,30,bus
trans_bus_00041,C20,C19,횡성,원주,9:45:00,10:15:00,일반,2400,30,bus
trans_bus_00042,C20,C19,횡성,원주,9:55:00,10:25:00,일반,2400,30,bus
trans_bus_00043,C20,C19,횡성,원주,10:25:00,10:55:00,일반,2400,30,bus
trans_bus_00044,C20,C19,횡성,원주,11:15:00,11:45:00,일반,2400,30,bus
trans_bus_00045,C20,C19,횡성,원주,12:00:00,12:30:00,일반,2400,30,bus
trans_bus_00046,C20,C19,횡성,원주,12:20:00,12:50:00,일반,2400,30,bus
trans_bus_00047,C20,C19,횡성,원주,13:10:00,13:40:00,일반,2400,30,bus
trans_bus_00048,C20,C19,횡성,원주,13:25:00,13:55:00,일반,2400,30,bus
trans_bus_00049,C20,C19,횡성,원주,14:00:00,14:30:00,일반,2400,30,bus
trans_bus_00050,C20,C19,횡성,원주,14:45:00,15:15:00,일반,2400,30,bus
trans_bus_00051,C20,C19,횡성,원주,15:15:00,15:45:00,일반,2400,30,bus
trans_bus_00052,C20,C19,횡성,원주,15:30:00,16:00:00,일반,2400,30,bus
trans_bus_00053,C20,C19,횡성,원주,15:45:00,16:15:00,일반,2400,30,bus
trans_bus_00054,C20,C19,횡성,원주,16:15:00,16:45:00,일반,2400,30,bus
trans_bus_00055,C20,C19,횡성,원주,16:20:00,16:50:00,일반,2400,30,bus
trans_bus_00056,C20,C19,횡성,원주,17:00:00,17:30:00,일반,2400,30,bus
trans_bus_00057,C20,C19,횡성,원주,17:45:00,18:15:00,일반,2400,30,bus
trans_bus_00058,C20,C19,횡성,원주,18:25:00,18:55:00,일반,2400,30,bus
trans_bus_00059,C20,C19,횡성,원주,19:05:00,19:35:00,일반,2400,30,bus
trans_bus_00060,C20,C19,횡성,원주,19:50:00,20:20:00,일반,2400,30,bus
trans_bus_00061,C20,C19,횡성,원주,20:30:00,21:00:00,일반,2400,30,bus
trans_bus_00062,C20,C19,횡성,원주,21:15:00,21:45:00,일반,2400,30,bus
trans_bus_00063,C20,C19,횡성,원주,21:50:00,22:20:00,일반,2400,30,bus
trans_bus_00064,C20,C13,횡성,전주,13:25:00,17:25:00,일반,21400,240,bus
trans_bus_00065,C20,C13,횡성,전주,15:30:00,19:30:00,일반,21400,240,bus
trans_bus_00066,C20,C21,횡성,평창,9:45:00,11:05:00,일반,8700,80,bus
trans_bus_00067,C20,C23,횡성,포항,8:45:00,12:45:00,우등,31900,240,bus
trans_bus_00068,C20,C23,횡성,포항,10:45:00,14:45:00,우등,31900,240,bus
trans_bus_00069,C20,C23,횡성,포항,18:05:00,22:05:00,우등,31900,240,bus
trans_bus_00070,C18,C01,양평,서울,7:05:00,7:55:00,일반,6200,50,bus
trans_bus_00071,C18,C01,양평,서울,8:00:00,8:50:00,일반,6200,50,bus
trans_bus_00072,C18,C01,양평,서울,9:05:00,9:55:00,일반,6200,50,bus
trans_bus_00073,C18,C01,양평,서울,10:05:00,10:55:00,일반,6200,50,bus
trans_bus_00074,C18,C01,양평,서울,10:50:00,11:40:00,일반,6200,50,bus
trans_bus_00075,C18,C01,양평,서울,11:35:00,12:25:00,일반,6200,50,bus
trans_bus_00076,C18,C01,양평,서울,13:05:00,13:55:00,일반,6200,50,bus
trans_bus_00077,C18,C01,양평,서울,14:05:00,14:55:00,일반,6200,50,bus
trans_bus_00078,C18,C01,양평,서울,14:30:00,15:20:00,일반,6200,50,bus
trans_bus_00079,C18,C01,양평,서울,15:05:00,15:55:00,일반,6200,50,bus
trans_bus_00080,C18,C01,양평,서울,16:05:00,16:55:00,일반,6200,50,bus
trans_bus_00081,C18,C01,양평,서울,17:05:00,17:55:00,일반,6200,50,bus
trans_bus_00082,C18,C01,양평,서울,18:05:00,18:55:00,일반,6200,50,bus
trans_bus_00083,C18,C01,양평,서울,19:10:00,20:00:00,일반,6200,50,bus
trans_bus_00084,C18,C01,양평,서울,19:35:00,20:25:00,일반,6200,50,bus
trans_bus_00085,C18,C01,양평,서울,21:05:00,21:55:00,일반,6200,50,bus
trans_bus_00086,C18,C01,양평,서울,21:55:00,22:45:00,일반,6200,50,bus
trans_bus_00087,C18,C01,양평,서울,23:58:00,0:48:00,일반,7400,50,bus
trans_bus_00088,C18,C20,양평,횡성,8:00:00,9:00:00,일반,6800,60,bus
trans_bus_00089,C18,C20,양평,횡성,11:00:00,12:00:00,일반,6800,60,bus
trans_bus_00090,C18,C20,양평,횡성,15:30:00,16:30:00,일반,6800,60,bus
trans_bus_00091,C18,C20,양평,횡성,18:05:00,19:05:00,일반,6800,60,bus
trans_bus_00092,C18,C20,양평,횡성,23:59:00,0:59:00,일반,6800,60,bus
trans_bus_00093,C17,C06,여수,경주,7:50:00,11:40:00,우등,29100,230,bus
trans_bus_00094,C17,C06,여수,경주,14:30:00,18:20:00,우등,29100,230,bus
trans_bus_00095,C17,C06,여수,경주,16:30:00,20:20:00,우등,29100,230,bus
trans_bus_00096,C17,C14,여수,남원,14:45:00,17:35:00,일반,13500,170,bus
trans_bus_00097,C17,C14,여수,남원,15:50:00,18:40:00,일반,13500,170,bus
trans_bus_00098,C17,C04,여수,대전,11:10:00,14:40:00,우등,26600,210,bus
trans_bus_00099,C17,C01,여수,서울,9:00:00,14:00:00,우등,37400,300,bus
trans_bus_00100,C17,C01,여수,서울,16:30:00,21:30:00,우등,37400,300,bus
trans_bus_00101,C17,C10,여수,부산,7:30:00,10:20:00,우등,20000,170,bus
trans_bus_00102,C17,C10,여수,부산,9:30:00,12:20:00,프리미엄,26000,170,bus
trans_bus_00103,C17,C10,여수,부산,11:30:00,14:20:00,우등,20000,170,bus
trans_bus_00104,C17,C10,여수,부산,13:30:00,16:20:00,우등,20000,170,bus
trans_bus_00105,C17,C10,여수,부산,15:00:00,17:50:00,우등,20000,170,bus
trans_bus_00106,C17,C10,여수,부산,16:35:00,19:25:00,프리미엄,26000,170,bus
trans_bus_00107,C17,C10,여수,부산,18:00:00,20:50:00,우등,20000,170,bus
trans_bus_00108,C17,C10,여수,부산,20:00:00,22:50:00,우등,20000,170,bus
trans_bus_00109,C17,C02,여수,수원,11:30:00,16:15:00,우등,34200,285,bus
trans_bus_00110,C17,C02,여수,수원,14:00:00,18:45:00,우등,34200,285,bus
trans_bus_00111,C17,C02,여수,수원,18:50:00,23:35:00,우등,34200,285,bus
trans_bus_00112,C17,C16,여수,순천,6:00:00,6:50:00,우등,4500,50,bus
trans_bus_00113,C17,C16,여수,순천,7:19:00,8:09:00,일반,4500,50,bus
trans_bus_00114,C17,C16,여수,순천,7:25:00,8:15:00,일반,4500,50,bus
trans_bus_00115,C17,C16,여수,순천,7:35:00,8:25:00,우등,4500,50,bus
trans_bus_00116,C17,C16,여수,순천,7:49:00,8:39:00,일반,4500,50,bus
trans_bus_00117,C17,C16,여수,순천,8:10:00,9:00:00,일반,4500,50,bus
trans_bus_00118,C17,C16,여수,순천,8:30:00,9:20:00,우등,4500,50,bus
trans_bus_00119,C17,C16,여수,순천,9:10:00,10:00:00,일반,4500,50,bus
trans_bus_00120,C17,C16,여수,순천,9:20:00,10:10:00,우등,4500,50,bus
trans_bus_00121,C17,C16,여수,순천,9:50:00,10:40:00,일반,4500,50,bus
trans_bus_00122,C17,C16,여수,순천,10:08:00,10:58:00,일반,4500,50,bus
trans_bus_00123,C17,C16,여수,순천,10:10:00,11:00:00,일반,4500,50,bus
trans_bus_00124,C17,C16,여수,순천,10:30:00,11:20:00,일반,4500,50,bus
trans_bus_00125,C17,C16,여수,순천,11:05:00,11:55:00,우등,4500,50,bus
trans_bus_00126,C17,C16,여수,순천,11:55:00,12:45:00,일반,4500,50,bus
trans_bus_00127,C17,C16,여수,순천,12:55:00,13:45:00,우등,4500,50,bus
trans_bus_00128,C17,C16,여수,순천,13:00:00,13:50:00,일반,4500,50,bus
trans_bus_00129,C17,C16,여수,순천,13:20:00,14:10:00,우등,4500,50,bus
trans_bus_00130,C17,C16,여수,순천,13:30:00,14:20:00,일반,4500,50,bus
trans_bus_00131,C17,C16,여수,순천,13:55:00,14:45:00,일반,4500,50,bus
trans_bus_00132,C17,C16,여수,순천,14:30:00,15:20:00,일반,4500,50,bus
trans_bus_00133,C17,C16,여수,순천,14:45:00,15:35:00,일반,4500,50,bus
trans_bus_00134,C17,C16,여수,순천,14:50:00,15:40:00,우등,4500,50,bus
trans_bus_00135,C17,C16,여수,순천,15:45:00,16:35:00,우등,4500,50,bus
trans_bus_00136,C17,C16,여수,순천,15:50:00,16:40:00,일반,4500,50,bus
trans_bus_00137,C17,C16,여수,순천,16:21:00,17:11:00,일반,4500,50,bus
trans_bus_00138,C17,C16,여수,순천,16:45:00,17:35:00,우등,4500,50,bus
trans_bus_00139,C17,C16,여수,순천,17:40:00,18:30:00,우등,4500,50,bus
trans_bus_00140,C17,C16,여수,순천,18:40:00,19:30:00,우등,4500,50,bus
trans_bus_00141,C17,C16,여수,순천,19:09:00,19:59:00,일반,4500,50,bus
trans_bus_00142,C17,C07,여수,울산,13:30:00,17:00:00,우등,27200,210,bus
trans_bus_00143,C17,C13,여수,전주,14:45:00,18:45:00,일반,21300,240,bus
trans_bus_00144,C17,C23,여수,포항,7:50:00,12:20:00,우등,34000,270,bus
trans_bus_00145,C17,C23,여수,포항,14:30:00,19:00:00,우등,34000,270,bus
trans_bus_00146,C17,C23,여수,포항,16:30:00,21:00:00,우등,34000,270,bus
trans_bus_00147,C16,C01,순천,서울,5:40:00,9:20:00,우등,30800,220,bus
trans_bus_00148,C16,C01,순천,서울,6:20:00,10:00:00,프리미엄,40000,220,bus
trans_bus_00149,C16,C01,순천,서울,8:00:00,11:40:00,우등,30800,220,bus
trans_bus_00150,C16,C01,순천,서울,9:00:00,12:40:00,우등,30800,220,bus
trans_bus_00151,C16,C01,순천,서울,10:10:00,13:50:00,프리미엄,40000,220,bus
trans_bus_00152,C16,C01,순천,서울,11:20:00,15:00:00,우등,30800,220,bus
trans_bus_00153,C16,C01,순천,서울,12:30:00,16:10:00,프리미엄,40000,220,bus
trans_bus_00154,C16,C01,순천,서울,13:30:00,17:10:00,우등,30800,220,bus
trans_bus_00155,C16,C01,순천,서울,14:20:00,18:00:00,프리미엄,40000,220,bus
trans_bus_00156,C16,C01,순천,서울,15:10:00,18:50:00,고속,20800,220,bus
trans_bus_00157,C16,C01,순천,서울,18:10:00,21:50:00,프리미엄,40000,220,bus
trans_bus_00158,C16,C01,순천,서울,20:00:00,23:40:00,프리미엄,40000,220,bus
trans_bus_00159,C16,C01,순천,서울,20:50:00,0:30:00,우등,30800,220,bus
trans_bus_00160,C16,C01,순천,서울,22:30:00,2:10:00,심야프리미엄,44000,220,bus
trans_bus_00161,C16,C06,순천,경주,8:35:00,11:35:00,우등,22700,180,bus
trans_bus_00162,C16,C06,순천,경주,11:20:00,14:20:00,우등,22700,180,bus
trans_bus_00163,C16,C06,순천,경주,15:20:00,18:20:00,우등,22700,180,bus
trans_bus_00164,C16,C06,순천,경주,17:20:00,20:20:00,우등,22700,180,bus
trans_bus_00165,C16,C14,순천,남원,15:43:00,17:43:00,일반,9000,120,bus
trans_bus_00166,C16,C05,순천,대구,15:00:00,18:00:00,우등,21600,180,bus
trans_bus_00167,C16,C05,순천,대구,17:00:00,20:00:00,우등,21600,180,bus
trans_bus_00168,C16,C10,순천,부산,7:20:00,9:40:00,우등,18800,140,bus
trans_bus_00169,C16,C10,순천,부산,9:20:00,11:40:00,우등,18800,140,bus
trans_bus_00170,C16,C10,순천,부산,11:30:00,13:50:00,우등,18800,140,bus
trans_bus_00171,C16,C10,순천,부산,13:10:00,15:30:00,우등,18800,140,bus
trans_bus_00172,C16,C10,순천,부산,14:50:00,17:10:00,우등,18800,140,bus
trans_bus_00173,C16,C10,순천,부산,17:00:00,19:20:00,우등,18800,140,bus
trans_bus_00174,C16,C10,순천,부산,19:30:00,21:50:00,우등,18800,140,bus
trans_bus_00175,C16,C02,순천,수원,9:50:00,13:35:00,우등,28300,225,bus
trans_bus_00176,C16,C02,순천,수원,12:20:00,16:05:00,우등,28300,225,bus
trans_bus_00177,C16,C02,순천,수원,14:50:00,18:35:00,우등,28300,225,bus
trans_bus_00178,C16,C02,순천,수원,19:40:00,23:25:00,우등,28300,225,bus
trans_bus_00179,C16,C07,순천,울산,9:10:00,12:40:00,우등,23500,210,bus
trans_bus_00180,C16,C07,순천,울산,11:10:00,13:50:00,우등,23500,160,bus
trans_bus_00181,C16,C07,순천,울산,18:10:00,20:50:00,우등,23500,160,bus
trans_bus_00182,C16,C13,순천,전주,15:43:00,18:53:00,일반,16800,190,bus
trans_bus_00183,C16,C23,순천,포항,8:35:00,12:05:00,우등,27600,210,bus
trans_bus_00184,C16,C23,순천,포항,11:20:00,14:50:00,우등,27600,210,bus
trans_bus_00185,C16,C23,순천,포항,15:20:00,18:50:00,우등,27600,210,bus
trans_bus_00186,C16,C23,순천,포항,17:20:00,20:50:00,우등,27600,210,bus
trans_bus_00187,C15,C01,곡성,서울,9:55:00,13:05:00,일반,27800,190,bus
trans_bus_00188,C15,C14,곡성,남원,9:35:00,10:00:00,일반,2600,25,bus
trans_bus_00189,C15,C14,곡성,남원,17:40:00,18:05:00,일반,2600,25,bus
trans_bus_00190,C15,C13,곡성,전주,9:35:00,11:10:00,일반,10400,95,bus
trans_bus_00191,C15,C13,곡성,전주,17:40:00,19:15:00,일반,10400,95,bus
trans_bus_00192,C14,C01,남원,서울,6:30:00,9:30:00,우등,25200,180,bus
trans_bus_00193,C14,C01,남원,서울,8:30:00,11:30:00,우등,25200,180,bus
trans_bus_00194,C14,C01,남원,서울,10:30:00,13:30:00,우등,25200,180,bus
trans_bus_00195,C14,C01,남원,서울,13:00:00,16:00:00,우등,25200,180,bus
trans_bus_00196,C14,C01,남원,서울,15:00:00,18:00:00,우등,25200,180,bus
trans_bus_00197,C14,C01,남원,서울,17:00:00,20:00:00,우등,25200,180,bus
trans_bus_00198,C14,C01,남원,서울,19:30:00,22:30:00,우등,25200,180,bus
trans_bus_00199,C14,C04,남원,대전,8:30:00,11:20:00,일반,16700,170,bus
trans_bus_00200,C14,C04,남원,대전,12:40:00,15:30:00,일반,16700,170,bus
trans_bus_00201,C14,C04,남원,대전,14:45:00,17:35:00,일반,16700,170,bus
trans_bus_00202,C14,C04,남원,대전,18:40:00,21:30:00,일반,16700,170,bus
trans_bus_00203,C14,C13,남원,전주,7:50:00,9:00:00,일반,6200,70,bus
trans_bus_00204,C14,C13,남원,전주,8:36:00,9:46:00,일반,6200,70,bus
trans_bus_00205,C14,C13,남원,전주,10:04:00,11:14:00,일반,6200,70,bus
trans_bus_00206,C14,C13,남원,전주,10:20:00,11:30:00,일반,6200,70,bus
trans_bus_00207,C14,C13,남원,전주,11:15:00,12:25:00,일반,6200,70,bus
trans_bus_00208,C14,C13,남원,전주,12:30:00,13:40:00,일반,6200,70,bus
trans_bus_00209,C14,C13,남원,전주,13:01:00,14:11:00,일반,6200,70,bus
trans_bus_00210,C14,C13,남원,전주,15:15:00,16:25:00,일반,6200,70,bus
trans_bus_00211,C14,C13,남원,전주,15:35:00,16:45:00,일반,6200,70,bus
trans_bus_00212,C14,C13,남원,전주,16:16:00,17:26:00,일반,6200,70,bus
trans_bus_00213,C14,C13,남원,전주,17:00:00,18:10:00,일반,6200,70,bus
trans_bus_00214,C14,C13,남원,전주,17:12:00,18:22:00,일반,6200,70,bus
trans_bus_00215,C14,C13,남원,전주,18:02:00,19:12:00,일반,6200,70,bus
trans_bus_00216,C14,C13,남원,전주,18:20:00,19:30:00,일반,6200,70,bus
trans_bus_00217,C14,C13,남원,전주,18:30:00,19:40:00,일반,6200,70,bus
trans_bus_00218,C14,C13,남원,전주,19:50:00,21:00:00,일반,6200,70,bus
trans_bus_00219,C14,C13,남원,전주,20:00:00,21:10:00,일반,6200,70,bus
trans_bus_00220,C14,C13,남원,전주,20:40:00,21:50:00,일반,6200,70,bus
trans_bus_00221,C14,C13,남원,전주,20:50:00,22:00:00,일반,6200,70,bus
trans_bus_00222,C14,C10,남원,부산,8:10:00,11:00:00,우등,19800,170,bus
trans_bus_00223,C14,C10,남원,부산,13:30:00,16:20:00,우등,19800,170,bus
trans_bus_00224,C14,C10,남원,부산,14:15:00,18:35:00,일반,22300,260,bus
trans_bus_00225,C14,C10,남원,부산,18:30:00,21:20:00,우등,19800,170,bus
trans_bus_00226,C14,C17,남원,여수,10:15:00,12:15:00,일반,13500,120,bus
trans_bus_00227,C14,C17,남원,여수,10:50:00,12:50:00,일반,13500,120,bus
trans_bus_00228,C14,C15,남원,곡성,15:25:00,15:50:00,일반,2600,25,bus
trans_bus_00229,C14,C16,남원,순천,10:15:00,11:45:00,일반,9000,90,bus
trans_bus_00230,C14,C16,남원,순천,10:50:00,12:20:00,일반,9000,90,bus
trans_bus_00231,C13,C01,전주,서울,5:00:00,7:35:00,우등,20100,155,bus
trans_bus_00232,C13,C01,전주,서울,5:30:00,8:05:00,우등,20100,155,bus
trans_bus_00233,C13,C01,전주,서울,5:45:00,8:20:00,프리미엄,26100,155,bus
trans_bus_00234,C13,C01,전주,서울,6:15:00,8:50:00,우등,20100,155,bus
trans_bus_00235,C13,C01,전주,서울,6:45:00,9:20:00,프리미엄,26100,155,bus
trans_bus_00236,C13,C01,전주,서울,7:00:00,9:35:00,우등,20100,155,bus
trans_bus_00237,C13,C01,전주,서울,7:15:00,9:50:00,고속,13800,155,bus
trans_bus_00238,C13,C01,전주,서울,7:30:00,10:05:00,우등,20100,155,bus
trans_bus_00239,C13,C01,전주,서울,7:40:00,10:15:00,프리미엄,26100,155,bus
trans_bus_00240,C13,C01,전주,서울,7:50:00,10:25:00,우등,20100,155,bus
trans_bus_00241,C13,C01,전주,서울,8:15:00,10:50:00,우등,20100,155,bus
trans_bus_00242,C13,C01,전주,서울,8:30:00,11:05:00,프리미엄,26100,155,bus
trans_bus_00243,C13,C01,전주,서울,9:00:00,11:35:00,우등,20100,155,bus
trans_bus_00244,C13,C01,전주,서울,9:15:00,11:50:00,프리미엄,26100,155,bus
trans_bus_00245,C13,C01,전주,서울,9:30:00,12:05:00,우등,20100,155,bus
trans_bus_00246,C13,C01,전주,서울,9:45:00,12:20:00,우등,20100,155,bus
trans_bus_00247,C13,C01,전주,서울,10:00:00,12:35:00,고속,13800,155,bus
trans_bus_00248,C13,C01,전주,서울,10:15:00,12:50:00,우등,20100,155,bus
trans_bus_00249,C13,C01,전주,서울,10:25:00,13:00:00,프리미엄,26100,155,bus
trans_bus_00250,C13,C01,전주,서울,10:35:00,13:10:00,고속,13800,155,bus
trans_bus_00251,C13,C01,전주,서울,11:00:00,13:35:00,프리미엄,26100,155,bus
trans_bus_00252,C13,C01,전주,서울,11:10:00,13:45:00,우등,20100,155,bus
trans_bus_00253,C13,C01,전주,서울,11:35:00,14:10:00,우등,20100,155,bus
trans_bus_00254,C13,C01,전주,서울,11:45:00,14:20:00,프리미엄,26100,155,bus
trans_bus_00255,C13,C01,전주,서울,12:15:00,14:50:00,우등,20100,155,bus
trans_bus_00256,C13,C01,전주,서울,12:30:00,15:05:00,프리미엄,26100,155,bus
trans_bus_00257,C13,C01,전주,서울,12:45:00,15:20:00,우등,20100,155,bus
trans_bus_00258,C13,C01,전주,서울,13:00:00,15:35:00,프리미엄,26100,155,bus
trans_bus_00259,C13,C01,전주,서울,13:10:00,15:45:00,우등,20100,155,bus
trans_bus_00260,C13,C01,전주,서울,13:45:00,16:20:00,우등,20100,155,bus
trans_bus_00261,C13,C01,전주,서울,14:00:00,16:35:00,프리미엄,26100,155,bus
trans_bus_00262,C13,C01,전주,서울,14:15:00,16:50:00,우등,20100,155,bus
trans_bus_00263,C13,C01,전주,서울,14:30:00,17:05:00,프리미엄,26100,155,bus
trans_bus_00264,C13,C01,전주,서울,14:55:00,17:30:00,우등,20100,155,bus
trans_bus_00265,C13,C01,전주,서울,15:05:00,17:40:00,고속,13800,155,bus
trans_bus_00266,C13,C01,전주,서울,15:25:00,18:00:00,프리미엄,26100,155,bus
trans_bus_00267,C13,C01,전주,서울,15:40:00,18:15:00,우등,20100,155,bus
trans_bus_00268,C13,C01,전주,서울,15:50:00,18:25:00,프리미엄,26100,155,bus
trans_bus_00269,C13,C01,전주,서울,16:10:00,18:45:00,프리미엄,26100,155,bus
trans_bus_00270,C13,C01,전주,서울,16:25:00,19:00:00,우등,20100,155,bus
trans_bus_00271,C13,C01,전주,서울,16:45:00,19:20:00,우등,20100,155,bus
trans_bus_00272,C13,C01,전주,서울,17:00:00,19:35:00,우등,20100,155,bus
trans_bus_00273,C13,C01,전주,서울,17:15:00,19:50:00,프리미엄,26100,155,bus
trans_bus_00274,C13,C01,전주,서울,17:30:00,20:05:00,우등,20100,155,bus
trans_bus_00275,C13,C01,전주,서울,17:50:00,20:25:00,고속,13800,155,bus
trans_bus_00276,C13,C01,전주,서울,18:00:00,20:35:00,우등,20100,155,bus
trans_bus_00277,C13,C01,전주,서울,18:10:00,20:45:00,프리미엄,26100,155,bus
trans_bus_00278,C13,C01,전주,서울,18:30:00,21:05:00,우등,20100,155,bus
trans_bus_00279,C13,C01,전주,서울,18:40:00,21:15:00,프리미엄,26100,155,bus
trans_bus_00280,C13,C01,전주,서울,18:50:00,21:25:00,우등,20100,155,bus
trans_bus_00281,C13,C01,전주,서울,19:10:00,21:45:00,프리미엄,26100,155,bus
trans_bus_00282,C13,C01,전주,서울,19:20:00,21:55:00,우등,20100,155,bus
trans_bus_00283,C13,C01,전주,서울,19:30:00,22:05:00,우등,20100,155,bus
trans_bus_00284,C13,C01,전주,서울,19:45:00,22:20:00,우등,20100,155,bus
trans_bus_00285,C13,C01,전주,서울,20:00:00,22:35:00,프리미엄,26100,155,bus
trans_bus_00286,C13,C01,전주,서울,20:15:00,22:50:00,우등,20100,155,bus
trans_bus_00287,C13,C01,전주,서울,20:30:00,23:05:00,고속,13800,155,bus
trans_bus_00288,C13,C01,전주,서울,20:50:00,23:25:00,프리미엄,26100,155,bus
trans_bus_00289,C13,C01,전주,서울,21:00:00,23:35:00,우등,20100,155,bus
trans_bus_00290,C13,C01,전주,서울,21:20:00,23:55:00,프리미엄,26100,155,bus
trans_bus_00291,C13,C01,전주,서울,22:40:00,1:15:00,심야우등,22100,155,bus
trans_bus_00292,C13,C01,전주,서울,23:20:00,1:55:00,심야프리미엄,28700,155,bus
trans_bus_00293,C13,C01,전주,서울,0:00:00,2:35:00,심야우등,22100,155,bus
trans_bus_00294,C13,C04,전주,대전,6:30:00,8:00:00,우등,10100,90,bus
trans_bus_00295,C13,C04,전주,대전,7:00:00,8:30:00,고속,7800,90,bus
trans_bus_00296,C13,C04,전주,대전,7:30:00,9:00:00,고속,7800,90,bus
trans_bus_00297,C13,C04,전주,대전,8:10:00,9:40:00,고속,7800,90,bus
trans_bus_00298,C13,C04,전주,대전,9:00:00,10:30:00,우등,10100,90,bus
trans_bus_00299,C13,C04,전주,대전,9:30:00,11:00:00,고속,7800,90,bus
trans_bus_00300,C13,C04,전주,대전,10:40:00,12:10:00,고속,7800,90,bus
trans_bus_00301,C13,C04,전주,대전,11:30:00,13:00:00,우등,10100,90,bus
trans_bus_00302,C13,C04,전주,대전,12:00:00,13:30:00,고속,7800,90,bus
trans_bus_00303,C13,C04,전주,대전,12:40:00,14:10:00,고속,7800,90,bus
trans_bus_00304,C13,C04,전주,대전,13:20:00,14:50:00,고속,7800,90,bus
trans_bus_00305,C13,C04,전주,대전,14:00:00,15:30:00,우등,10100,90,bus
trans_bus_00306,C13,C04,전주,대전,14:40:00,16:10:00,고속,7800,90,bus
trans_bus_00307,C13,C04,전주,대전,15:20:00,16:50:00,고속,7800,90,bus
trans_bus_00308,C13,C04,전주,대전,16:00:00,17:30:00,고속,7800,90,bus
trans_bus_00309,C13,C04,전주,대전,16:30:00,18:00:00,우등,10100,90,bus
trans_bus_00310,C13,C04,전주,대전,17:10:00,18:40:00,고속,7800,90,bus
trans_bus_00311,C13,C04,전주,대전,18:00:00,19:30:00,고속,7800,90,bus
